UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;L1002;P1002;P1003;FEX_MUJER
19;4;1;2021;1;0;1;1;6; ;459
19;4;1;2021;1;0;1;2;6; ;459
19;4;1;2021;1;0;1;3;6; ;459
19;4;1;2021;1;0;1;4;6; ;459
19;4;1;2021;1;0;1;5;6; ;459
19;4;1;2021;1;0;1;6;6; ;459
19;11;1;2021;1;0;1;1;6; ;416
19;11;1;2021;1;0;1;2;1;6;416
19;11;1;2021;1;0;1;3;1;6;416
19;11;1;2021;1;0;1;4;6; ;416
19;11;1;2021;1;0;1;5;6; ;416
19;11;1;2021;1;0;1;6;6; ;416
19;20;1;2021;1;0;1;1;6; ;543
19;20;1;2021;1;0;1;2;6; ;543
19;20;1;2021;1;0;1;3;6; ;543
19;20;1;2021;1;0;1;4;6; ;543
19;20;1;2021;1;0;1;5;6; ;543
19;20;1;2021;1;0;1;6;6; ;543
74;7;1;2021;1;0;1;1;6; ;597
74;7;1;2021;1;0;1;2;6; ;597
74;7;1;2021;1;0;1;3;6; ;597
74;7;1;2021;1;0;1;4;6; ;597
74;7;1;2021;1;0;1;5;6; ;597
74;7;1;2021;1;0;1;6;6; ;597
74;44;1;2021;1;0;1;1;6; ;2821
74;44;1;2021;1;0;1;2;1;6;2821
74;44;1;2021;1;0;1;3;6; ;2821
74;44;1;2021;1;0;1;4;6; ;2821
74;44;1;2021;1;0;1;5;6; ;2821
74;44;1;2021;1;0;1;6;6; ;2821
74;56;1;2021;1;0;1;1;6; ;796
74;56;1;2021;1;0;1;2;6; ;796
74;56;1;2021;1;0;1;3;6; ;796
74;56;1;2021;1;0;1;4;6; ;796
74;56;1;2021;1;0;1;5;6; ;796
74;56;1;2021;1;0;1;6;6; ;796
74;67;1;2021;1;0;1;1;6; ;597
74;67;1;2021;1;0;1;2;1;6;597
74;67;1;2021;1;0;1;3;6; ;597
74;67;1;2021;1;0;1;4;6; ;597
74;67;1;2021;1;0;1;5;6; ;597
74;67;1;2021;1;0;1;6;6; ;597
183;2;1;2021;1;0;1;1;6; ;945
183;2;1;2021;1;0;1;2;6; ;945
183;2;1;2021;1;0;1;3;6; ;945
183;2;1;2021;1;0;1;4;6; ;945
183;2;1;2021;1;0;1;5;6; ;945
